,Company_name,Rank
1257,INDO AMINES LTD.,Rank 3
1258,PANASONIC CARBON INDIA CO.LTD,Rank 3
1259,APOLLO MICRO SYSTEMS LIMITED,Rank 3
1260,BANNARI AMMAN SPINNING MILLS LTD,Rank 3
1261,PIONEER DISTILLERIES LTD.,Rank 3
1262,NILA INFRASTRUCTURES LTD,Rank 3
1263,TIPS INDUSTRIES LIMITED,Rank 3
1264,ROYAL ORCHID HOTELS LTD,Rank 3
1265,JUBILANT INDUSTRIES LIMITED,Rank 3
1266,MULTIBASE INDIA LTD,Rank 3
1267,CAPITAL TRUST LTD.,Rank 3
1268,GUJARAT NRE COKE LTD.,Rank 3
1269,"BINNY LTD.,",Rank 3
1270,INDUSTRIAL & PRUDENTIAL INV. CO. LT,Rank 3
1271,K C P SUGAR AND INDUSTRIES CORPORATION LTD.,Rank 3
1272,"INDUSTRIAL INVESTMENT TRUST LTD.,",Rank 3
1273,SHREE RAM URBAN INFRASTRUCTURE LTD,Rank 3
1274,SARLA PERFORMANCE FIBERS LTD,Rank 3
1275,"TIL LTD.,",Rank 3
1276,ESTEEM BIO ORGANIC FOOD PROCESSING  LIMITED,Rank 3
1277,MADHAV INFRA PROJECTS LIMITED,Rank 3
1278,KANORIA CHEMICALS & INDUSTRIES LTD.,Rank 3
1279,NICCO PARKS AND RESORTS LTD.,Rank 3
1280,MOSCHIP TECHNOLOGIES LIMITED,Rank 3
1281,SHREE GLOBAL  TRADEFIN  L T D..,Rank 3
1282,JASH ENGINEERING LTD.,Rank 3
1283,UGAR SUGAR WORKS LTD.,Rank 3
1284,AKASH INFRA PROJECTS LTD.,Rank 3
1285,BHARTIYA INTERNATIONAL LTD.,Rank 3
1286,DYNEMIC PRODUCTS LTD.,Rank 3
1287,AIRAN LTD.,Rank 3
1288,NATH INDUSTRIES LIMITED,Rank 3
1289,"INTERNATIONAL CONVEYORS LTD.,",Rank 3
1290,A.K.CAPITAL SERVICES LTD.,Rank 3
1291,DHANLEELA INVESTMENTS & TRADING COMPANY LTD,Rank 3
1292,"VARUN SHIPPING CO. LTD.,",Rank 3
1293,STEEL EXCHANGE INDIA LTD.,Rank 3
1294,ASAHI SONGWON COLORS LTD.,Rank 3
1295,MADHYA BHARAT AGRO PRODUCTS LTD.,Rank 3
1296,NITCO LTD.,Rank 3
1297,SANWARIA CONSUMER LIMITED,Rank 3
1298,RUBFILA INTERNATIONAL LTD.,Rank 3
1299,PODDAR HOUSING AND DEVELOPMENT LIMITED,Rank 3
1300,RAM RATNA WIRES LTD.,Rank 3
1301,MAGADH SUGAR & ENERGY LIMITED,Rank 3
1302,JAYPEE INFRATECH LIMITED,Rank 3
1303,ESSAR SHIPPING LTD,Rank 3
1304,ELECTROTHERM (INDIA) LTD,Rank 3
1305,PRAXIS HOME RETAIL LIMITED ,Rank 3
1306,KREBS BIOCHEMICALS & INDUSTRIES LTD.,Rank 3
1307,PRITIKA AUTO INDUSTRIES LIMITED,Rank 3
1308,GOKUL REFOILS AND SOLVENT LIMITED,Rank 3
1309,B L KASHYAP AND SONS LTD,Rank 3
1310,DONEAR INDUSTRIES LTD,Rank 3
1311,LASA SUPERGENERICS LIMITED,Rank 3
1312,VISHNU CHEMICALS LIMITED,Rank 3
1313,CAPTAIN POLYPLAST LIMITED,Rank 3
1314,MAZDA LTD.,Rank 3
1315,APOLLO SINDOORI HOTELS LTD.,Rank 3
1316,SHREEKRISHNA BIOTECH LTD.,Rank 3
1317,YASHO INDUSTRIES LIMITED,Rank 3
1318,CRB SHARE CUSTODIAN SERVICES LTD,Rank 3
1319,"SHIVALIK BIMETAL CONTROLS LTD.,",Rank 3
1320,ZENOTECH LABORATORIES LIMITED,Rank 3
1321,EROS INTERNATIONAL MEDIA LIMITED,Rank 3
1322,BIRLA CABLE LIMITED,Rank 3
1323,SALASAR TECHNO ENGINEERING LIMITED,Rank 3
1324,"SALZER ELECTRONICS LTD.,",Rank 3
1325,BOMBAY RAYON FASHIONS LTD.,Rank 3
1326,GANESH HOUSING CORPORATION LTD.,Rank 3
1327,KELLTON TECH SOLUTIONS LTD.,Rank 3
1328,GEECEE VENTURES LIMITED,Rank 3
1329,SETCO AUTOMOTIVE LIMITED,Rank 3
1330,WINTAC LTD.,Rank 3
1331,EMMBI INDUSTRIES LIMITED,Rank 3
1332,MALLCOM (INDIA) LTD.,Rank 3
1333,XTGLOBAL INFOTECH LIMITED,Rank 3
1334,ASIAN HOTELS (NORTH) LIMITED,Rank 3
1335,SINCLAIRS HOTELS  LTD,Rank 3
1336,RELIANCE NAVAL AND ENGINEERING LIMITED,Rank 3
1337,RANE ENGINE VALVE LIMITED,Rank 3
1338,RATNABHUMI DEVELOPERS LIMITED,Rank 3
1339,GENESYS INTERNATIONAL CORPORATION LTD.,Rank 3
1340,VAARAD VENTURES LTD,Rank 3
1341,ZUARI GLOBAL LIMITED,Rank 3
1342,"AMBALAL SARABHAI ENTERPRISE LTD.,",Rank 3
1343,OPTO CIRCUITS (INDIA) LTD.,Rank 3
1344,MITTAL LIFE STYLE LTD.,Rank 3
1345,HALDYN GLASS LIMITED,Rank 3
1346,SAKUMA EXPORTS LTD.,Rank 3
1347,PUDUMJEE PAPER PRODUCTS LIMITED,Rank 3
1348,SHREYAS SHIPPING AND LOGISTICS LIMITED,Rank 3
1349,KIC METALIKS LTD.,Rank 3
1350,CSL FINANCE LIMITED,Rank 3
1351,VIKAS WSP LTD.,Rank 3
1352,SINGER INDIA LIMITED,Rank 3
1353,FOMENTO RESORTS & HOTELS LTD.,Rank 3
1354,"SAM LEASECO LTD.,",Rank 3
1355,"NAHAR SPINNING MILLS LTD.,",Rank 3
1356,HI-TECH PIPES LTD.,Rank 3
1357,SIL INVESTMENTS LTD,Rank 3
1358,MONEYBOXX FINANCE LIMITED,Rank 3
1359,RUCHIRA PAPERS LTD,Rank 3
1360,TECHNVISION VENTURES LIMITED,Rank 3
1361,ADHUNIK INDUSTRIES LIMITED,Rank 3
1362,PARTAP INDUSTRIES LIMITED,Rank 3
1363,DHYANA FINSTOCK LIMITED,Rank 3
1364,UTTAM VALUE STEELS LIMITED,Rank 3
1365,"TALBROS AUTOMOTIVE COMPONENTS LTD.,",Rank 3
1366,"MAFATLAL INDUSTRIES LTD.,",Rank 3
1367,"KOPRAN LTD.,",Rank 3
1368,ORIENT BELL LIMITED,Rank 3
1369,"ABAN  OFFSHORE LTD.,",Rank 3
1370,INDIA NIVESH LIMITED,Rank 3
1371,"SHREYANS INDUSTRIES LIMITED.,",Rank 3
1372,"TANFAC INDUSTRIES LTD.,",Rank 3
1373,ADOR FONTECH LTD,Rank 3
1374,GRAVISS HOSPITALITY LTD,Rank 3
1375,DIGISPICE TECHNOLOGIES LIMITED,Rank 3
1376,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Rank 3
1377,"VINYL CHEMICALS (INDIA) LTD.,",Rank 3
1378,UNIPLY INDUSTRIES LTD.,Rank 3
1379,KRISHANA PHOSCHEM LTD.,Rank 3
1380,SUCHAK TRADING LTD.,Rank 3
1381,"JAY SHREE TEA & INDUSTRIES LTD.,",Rank 3
1382,PARAMOUNT COMMUNICATIONS LTD.,Rank 3
1383,YASH PAKKA LIMITED,Rank 3
1384,HITECH CORPORATION LIMITED,Rank 3
1385,SHEETAL COOL PRODUCTS LIMITED,Rank 3
1386,MAWANA SUGARS LTD,Rank 3
1387,PONNI SUGARS (ERODE) LTD.,Rank 3
1388,IND-SWIFT LABORATORIES LTD.,Rank 3
1389,SITI NETWORKS LIMITED,Rank 3
1390,AYM SYNTEX LIMITED,Rank 3
1391,THE UNITED NILGIRI TEA ESTATES COMPANY LTD.,Rank 3
1392,GENUS PAPER & BOARDS LIMITED,Rank 3
1393,JOCIL LTD.,Rank 3
1394,SHAHLON SILK INDUSTRIES LIMITED,Rank 3
1395,RPP INFRA PROJECTS LIMITED,Rank 3
1396,TCI DEVELOPERS LIMITED,Rank 3
1397,EMKAY GLOBAL FINANCIAL SERVICES LTD,Rank 3
1398,LAKSHMI MILLS COMPANY LTD,Rank 3
1399,NIVAKA FASHIONS LIMITED,Rank 3
1400,DR.AGARWALS EYE HOSPITAL LTD.,Rank 3
1401,FUTURE MARKET NETWORKS LIMITED,Rank 3
1402,EAST WEST HOLDINGS LIMITED,Rank 3
1403,BELLA CASA FASHION & RETAIL LIMITED,Rank 3
1404,BHARAT PARENTERALS LIMITED,Rank 3
1405,ALPHAGEO (INDIA)LTD.,Rank 3
1406,INDIAN ACRYLICS LTD,Rank 3
1407,REVATHI EQUIPMENT LTD.,Rank 3
1408,MAHAMAYA STEEL INDUSTRIES LIMITED,Rank 3
1409,DHP INDIA LTD.,Rank 3
1410,DHUNSERI INVESTMENTS LTD,Rank 3
1411,"HARRISONS MALAYALAM LTD.,",Rank 3
1412,LOYAL TEXTILES MILLS LTD,Rank 3
1413,"JAGATJIT INDUSTRIES LTD.,",Rank 3
1414,EMAMI REALTY LIMITED,Rank 3
1415,SHIVA TEXYARN LTD.,Rank 3
1416,MOLD-TEK TECHNOLOGIES LTD,Rank 3
1417,PIL ITALICA LIFESTYLE LIMITED,Rank 3
1418,RADIX INDUSTRIES (INDIA) LIMITED,Rank 3
1419,AMAL LTD,Rank 3
1420,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED,Rank 3
1421,K.P. ENERGY LIMITED,Rank 3
1422,AURIONPRO SOLUTIONS LTD.,Rank 3
1423,"POLSON LTD.,",Rank 3
1424,SYNERGY GREEN INDUSTRIES LIMITED,Rank 3
1425,JTL INFRA LIMITED,Rank 3
1426,VIRINCHI LIMITED,Rank 3
1427,TRIGYN TECHNOLOGIES LTD.,Rank 3
1428,RAGHAV PRODUCTIVITY ENHANCERS LIMITED,Rank 3
1429,POLO QUEEN INDUSTRIAL AND FINTECH LIMITED ,Rank 3
1430,PREMIER EXPLOSIVES LTD.,Rank 3
1431,DHUNSERI TEA & INDUSTRIES LTD,Rank 3
1432,CREATIVE PERIPHERALS AND DISTRIBUTION LTD.,Rank 3
1433,PENINSULA LAND LIMITED,Rank 3
1434,INSPIRISYS SOLUTIONS LIMITED,Rank 3
1435,NAHAR CAPITAL & FINANCIAL SERVICES LTD.,Rank 3
1436,ARTSON ENGINEERING LTD,Rank 3
1437,CYBERTECH SYSTEMS AND SOFTWARE LTD.,Rank 3
1438,NITTA GELATIN INDIA LTD,Rank 3
1439,MAHA RASHTRA APEX CORPORATION LTD,Rank 3
1440,DE NORA INDIA LIMITED,Rank 3
1441,SKY GOLD LIMITED,Rank 3
1442,20 MICRONS LIMITED,Rank 3
1443,ZIM LABORATORIES LIMITED,Rank 3
1444,SAMKRG PISTONS AND RINGS LTD.,Rank 3
1445,"INDIAN TONERS & DEVELOPERS LTD.,",Rank 3
1446,ARNOLD HOLDINGS LTD,Rank 3
1447,VJTF EDUSERVICES LIMITED,Rank 3
1448,SAKTHI SUGARS LTD.,Rank 3
1449,INVENTURE GROWTH & SECURITIES LIMITED,Rank 3
1450,COMMERCIAL ENGINEERS & BODY BUILDERS CO. LIMITED,Rank 3
1451,KRITI NUTRIENTS LTD,Rank 3
1452,PAUL MERCHANTS LTD.,Rank 3
1453,SCANPOINT GEOMATICS LIMITED,Rank 3
1454,PITTI ENGINEERING LIMITED,Rank 3
1455,VICTORY PAPER & BOARDS (INDIA) LTD.,Rank 3
1456,"SCOOTERS INDIA LTD.,",Rank 3
1457,"HINDUSTAN MOTORS LTD.,",Rank 3
1458,KUSHAL LIMITED,Rank 3
1459,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,Rank 3
1460,AKME STAR HOUSING FINANCE LIMITED,Rank 3
1461,PANASONIC ENERGY INDIA CO. LTD.,Rank 3
1462,TYCHE INDUSTRIES LTD.,Rank 3
1463,JMT AUTO LTD,Rank 3
1464,INDO TECH TRANSFORMERS LIMITED,Rank 3
1465,AASHRIT CAPITAL LIMITED,Rank 3
1466,WINDSOR MACHINES LIMITED,Rank 3
1467,SAHYADRI INDUSTRIES LTD.,Rank 3
1468,MODISON METALS LTD,Rank 3
1469,EVEREST ORGANICS LTD.,Rank 3
1470,DHANVARSHA FINVEST LIMITED,Rank 3
1471,HOUSING DEVELOPMENT & INFRASTRUCTURE  LTD,Rank 3
1472,NANDAN DENIM LIMITED,Rank 3
1473,AVANTEL LIMITED,Rank 3
1474,CEINSYS TECH LIMITED,Rank 3
1475,KIMIA BIOSCIENCES LIMITED,Rank 3
1476,STEL HOLDINGS LIMITED,Rank 3
1477,PRAKASH PIPES LIMITED,Rank 3
1478,BIMETAL BEARINGS LTD,Rank 3
1479,BALASORE ALLOYS LTD,Rank 3
1480,PS IT INFRASTRUCTURE & SERVICES LIMITED,Rank 3
1481,"MAJESTIC AUTO LTD.,",Rank 3
1482,ARIHANT SUPERSTRUCTURES LIMITED,Rank 3
1483,INTEGRA ENGINEERING INDIA LTD.,Rank 3
1484,NAHAR POLYFILMS LTD.,Rank 3
1485,"COCHIN MINERALS & RUTILE LTD.,",Rank 3
1486,URJA GLOBAL LIMITED,Rank 3
1487,CONSOLIDATED FINVEST & HOLDINGS LTD.,Rank 3
1488,RUCHI INFRASTRUCTURE LTD,Rank 3
1489,PONDY OXIDES & CHEMICALS LIMITED,Rank 3
1490,VIVIMED LABS LTD.,Rank 3
1491,SMARTLINK HOLDINGS LIMITED,Rank 3
1492,TRF LTD,Rank 3
1493,KOTHARI SUGARS & CHEMICALS LTD.,Rank 3
1494,"VADILAL ENTERPRISES LTD.,",Rank 3
1495,KANCHI KARPOORAM LTD.,Rank 3
1496,BHARAT WIRE ROPES LIMITED,Rank 3
1497,SHERVANI INDUSTRIAL SYNDICATE LTD,Rank 3
1498,PG ELECTROPLAST LIMITED,Rank 3
1499,"APOLLO FINVEST (INDIA) LTD.,",Rank 3
1500,VIPUL ORGANICS LIMITED,Rank 3
1501,"ANDHRA CEMENT LTD.,",Rank 3
1502,DEEP POLYMERS LIMITED,Rank 3
1503,PRIME SECURITIES LTD.,Rank 3
1504,NAHAR INDUSTRIAL ENTERPRISES LTD,Rank 3
1505,GRP LIMITED,Rank 3
1506,FRONTIER SPRINGS LTD.,Rank 3
1507,BCL INDUSTRIES LIMITED,Rank 3
1508,ASPINWALL AND COMPANY LTD.,Rank 3
1509,MITSU CHEM PLAST LIMITED,Rank 3
1510,BHATIA COMMUNICATIONS & RETAIL (INDIA) LIMITED,Rank 3
1511,ABM KNOWLEDGEWARE LTD.,Rank 3
1512,AKSH OPTIFIBRE LTD.,Rank 3
1513,ZEAL AQUA LIMITED,Rank 3
1514,KAPSTON FACILITIES MANAGEMENT LTD.,Rank 3
1515,SKIL INFRASTRUCTURE LIMITED,Rank 3
1516,INNOVENTIVE VENTURE LIMITED,Rank 3
1517,ATLANTA INFRASTRUCTURE AND FINANCE LTD.,Rank 3
1518,GALAXY CLOUD KITCHENS LIMITED,Rank 3
1519,NILACHAL REFRACTORIES LTD.,Rank 3
1520,CRAVATEX LTD.,Rank 3
1521,BALAXI VENTURES LTD.,Rank 3
1522,KRITI INDUSTRIES (INDIA) LTD.,Rank 3
1523,SOUTH INDIA PAPER MILLS LTD.,Rank 3
1524,D P WIRES LTD.,Rank 3
1525,BAMBINO AGRO INDUSTRIES LTD,Rank 3
1526,VERTOZ ADVERTISING LTD.,Rank 3
1527,LKP FINANCE LIMITED,Rank 3
1528,"PUNJAB ALKALIES & CHEMICALS LTD.,",Rank 3
1529,VIJAY SOLVEX LTD.,Rank 3
1530,MUKESH BABU FINANCIAL SERVICES LTD.,Rank 3
1531,IL & FS INVESTMENT MANAGERS LTD.,Rank 3
1532,SCAN STEELS LIMITED,Rank 3
1533,UTTAM GALVA STEELS LTD.,Rank 3
1534,GOODLUCK INDIA LIMITED,Rank 3
1535,RACL GEARTECH LIMITED,Rank 3
1536,"RAJLAXMI INDUSTRIES LTD.,",Rank 3
1537,"INDO BORAX & CHEMICALS LTD.,",Rank 3
1538,UMANG DAIRIES LIMITED,Rank 3
1539,A2Z INFRA ENGINEERING LIMITED,Rank 3
1540,MYSORE PAPER MILLS LIMITED,Rank 3
1541,THINKINK PICTUREZ LIMITED,Rank 3
1542,PARSVNATH DEVELOPERS LTD.,Rank 3
1543,"UNI-ABEX ALLOY PRODUCTS LTD.,",Rank 3
1544,NARMADA GELATINES LTD.,Rank 3
1545,KOTHARI PETROCHEM LTD.,Rank 3
1546,DHRUV WELLNESS LIMITED,Rank 3
1547,SHREE AJIT PULP AND PAPER LTD.,Rank 3
1548,FORTIS MALAR HOSPITALS LIMITED,Rank 3
1549,"KHODAY INDIA LTD.,",Rank 3
1550,FAZE THREE LTD.,Rank 3
1551,KILPEST INDIA LTD.,Rank 3
1552,CIAN AGRO INDUSTRIES & INFRASTRUCTURE LIMITED,Rank 3
1553,LOVABLE LINGERIE LIMITED,Rank 3
1554,JCT LTD,Rank 3
1555,VTM LTD,Rank 3
1556,BFL ASSET FINVEST LIMITED,Rank 3
1557,BHARAT AGRI FERT AND REALTY LTD,Rank 3
1558,MAXIMUS INTERNATIONAL LIMITED,Rank 3
1559,SKM EGG PRODUCTS EXPORTS (INDIA) LT,Rank 3
1560,"OSWAL AGRO MILLS LTD.,",Rank 3
1561,ORISSA BENGAL CARRIER LIMITED,Rank 3
1562,ORIENT PRESS LTD.,Rank 3
1563,SAKAR HEALTHCARE LTD.,Rank 3
1564,"HINDUSTAN ORGANIC CHEMICALS LTD.,",Rank 3
1565,HINDUSTHAN URBAN INFRASTRUCTURE LIMITED,Rank 3
1566,SAGARDEEP ALLOYS LTD.,Rank 3
1567,SUPERHOUSE LIMITED,Rank 3
1568,"JBF INDUSTRIES LTD.,",Rank 3
1569,MT EDUCARE LIMITED,Rank 3
1570,8K MILES SOFTWARE SERVICES LIMITED,Rank 3
1571,MANPASAND BEVERAGES LIMITED,Rank 3
1572,ONWARD TECHNOLOGIES LTD.,Rank 3
1573,"BPL LTD.,",Rank 3
1574,INVESTMENT & PRECISION CASTINGS LTD,Rank 3
1575,UJAAS ENERGY LIMITED,Rank 3
1576,DR HABEEBULLAH LIFE SCIENCES LIMITED,Rank 3
1577,CALS REFINERIES LTD,Rank 3
1578,ALLIED DIGITAL SERVICES LIMITED,Rank 3
1579,REFEX INDUSTRIES LIMITED,Rank 3
1580,SAB INDUSTRIES LIMITED,Rank 3
1581,SRG HOUSING FINANCE LIMITED,Rank 3
1582,"JOLLY PLASTIC INDUSTRIES LTD.,",Rank 3
1583,COMPUAGE INFOCOM LTD,Rank 3
1584,COMPETENT AUTOMOBILES CO. LTD.,Rank 3
1585,SPORTKING INDIA LTD.,Rank 3
1586,HUBTOWN LIMITED,Rank 3
1587,B.C. POWER CONTROLS LIMITED,Rank 3
1588,LUDLOW JUTE & SPECIALITIES LTD,Rank 3
1589,RITCO LOGISTICS LIMITED,Rank 3
1590,VERITAS (INDIA) LIMITED,Rank 3
1591,PANTH INFINITY LIMITED,Rank 3
1592,ARIHANT CAPITAL MARKETS LTD.,Rank 3
1593,TPL PLASTECH LIMITED,Rank 3
1594,KANPUR PLASTIPACK LIMITED,Rank 3
1595,MEHAI TECHNOLOGY  LIMITED,Rank 3
1596,SINTEX PLASTICS TECHNOLOGY LTD.,Rank 3
1597,NAGA LIMITED,Rank 3
1598,YASH CHEMEX LIMITED,Rank 3
1599,"ARIES AGRO LIMITED,",Rank 3
1600,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Rank 3
1601,PASUPATI ACRYLON LTD.,Rank 3
1602,SMS LIFESCIENCES INDIA LTD,Rank 3
1603,UNIVERSUS PHOTO IMAGINGS LIMITED,Rank 3
1604,PERMANENT MAGNETS LTD.,Rank 3
1605,S V GLOBAL MILL LIMITED,Rank 3
1606,ALUFLUORIDE  LTD.,Rank 3
1607,SUPER SALES INDIA LTD.,Rank 3
1608,INTRASOFT TECHNOLOGIES LIMITED,Rank 3
1609,ASI INDUSTRIES LIMITED,Rank 3
1610,SPL INDUSTRIES LIMITED,Rank 3
1611,VIBRANT GLOBAL CAPITAL LIMITED,Rank 3
1612,MIDEAST INTEGRATED STEELS LIMITED,Rank 3
1613,XELPMOC DESIGN AND TECH LIMITED,Rank 3
1614,SUNDARAM BRAKE LININGS LTD,Rank 3
1615,KIRLOSKAR ELECTRIC COMPANY LTD.,Rank 3
1616,INDITRADE CAPITAL LIMITED,Rank 3
1617,CINELINE INDIA LIMITED,Rank 3
1618,SUNSHIELD CHEMICALS LTD.,Rank 3
1619,"DUNLOP INDIA LTD.,",Rank 3
1620,ELGI RUBBER COMPANY LTD.,Rank 3
1621,"SIKA INTERPLANT SYSTEMS LTD.,",Rank 3
1622,ASHAPURI GOLD ORNAMENT LIMITED,Rank 3
1623,GPT INFRAPROJECTS LIMITED,Rank 3
1624,SHARDUL SECURITIES LTD.,Rank 3
1625,T T LTD,Rank 3
1626,FRESHTROP FRUITS LTD.,Rank 3
1627,TIRUPATI FINCORP LIMITED,Rank 3
1628,VETO SWITCHGEARS AND CABLES LIMITED,Rank 3
1629,EVERLON SYNTHETICS LTD.,Rank 3
1630,MANGAL CREDIT AND FINCORP LIMITED,Rank 3
1631,PICCADILY AGRO INDUSTRIES LTD.,Rank 3
1632,VIKAS ECOTECH LIMITED,Rank 3
1633,"MODI RUBBER LTD.,",Rank 3
1634,AMJ LAND HOLDINGS LIMITED,Rank 3
1635,MANGALAM DRUGS AND ORGANICS LTD.,Rank 3
1636,KHAITAN CHEMICALS & FERTILIZERS LTD,Rank 3
1637,"SAKTHI FINANCE LTD.,",Rank 3
1638,"TRITON VALVES LTD.,",Rank 3
1639,AGARWAL INDUSTRIAL CORPORATION LIMITED,Rank 3
1640,CL EDUCATE LIMITED,Rank 3
1641,"MURUDESHWAR CERAMICS LTD.,",Rank 3
1642,THE RAMARAJU SURGICAL COTTON MILLS LIMITED,Rank 3
1643,PRADEEP METALS LTD.,Rank 3
1644,ASHIMA LTD,Rank 3
1645,MAURIA UDYOG LIMITED,Rank 3
1646,SYNCOM FORMULATIONS (INDIA) LTD.,Rank 3
1647,BODHTREE CONSULTING LIMITED,Rank 3
1648,INNOVATIVE IDEALS AND SERVICES (INDIA) LIMITED,Rank 3
1649,GLOBAL VECTRA HELICORP LTD.,Rank 3
1650,FREDUN PHARMACEUTICALS LIMITED,Rank 3
1651,K. M. SUGAR MILLS LTD.,Rank 3
1652,AMTEK AUTO LTD,Rank 3
1653,S.KUMARS NATIONWIDE LTD.,Rank 3
1654,SHREE GANESH REMEDIES LIMITED,Rank 3
1655,SANMIT INFRA LIMITED,Rank 3
1656,LORDS CHLORO ALKALI LTD,Rank 3
1657,ANISHA IMPEX LIMITED,Rank 3
1658,"AIMCO PESTICIDES LTD.,",Rank 3
1659,STANDARD INDUSTRIES LTD.,Rank 3
1660,"OMAX AUTOS LTD.,",Rank 3
1661,"JAGSONPAL PHARMACEUTICALS LIMITED,",Rank 3
1662,NILE LTD.,Rank 3
1663,RDB RASAYANS LIMITED,Rank 3
1664,GOBLIN INDIA LIMITED,Rank 3
1665,MENON PISTONS LTD.,Rank 3
1666,INDIA GELATINE & CHEMICALS LTD.,Rank 3
1667,CORAL INDIA FINANCE AND HOUSING LTD,Rank 3
1668,RAMA PHOSPHATES LTD.,Rank 3
1669,MISHKA FINANCE AND TRADING LIMITED,Rank 3
1670,DECCAN HEALTH CARE LIMITED,Rank 3
1671,GENSOL ENGINEERING LIMITED,Rank 3
1672,NATURITE AGRO PRODUCTS LIMITED,Rank 3
1673,BHAGYANAGAR PROPERTIES LTD,Rank 3
1674,AARNAV FASHIONS LIMITED,Rank 3
1675,MAGELLANIC CLOUD LIMITED,Rank 3
1676,VANTA BIOSCIENCE LIMITED,Rank 3
1677,SAYAJI INDUSTRIES LIMITED,Rank 3
1678,BCPL RAILWAY INFRASTRUCTURE LIMITED,Rank 3
1679,RELIANCE HOME FINANCE LIMITED,Rank 3
1680,"BALLARPUR INDUSTRIES LTD.,",Rank 3
1681,GEE LTD.,Rank 3
1682,TARINI ENTERPRISES LIMITED,Rank 3
1683,WHITE ORGANIC RETAIL LIMITED,Rank 3
1684,ULTRACAB (INDIA) LIMITED,Rank 3
1685,MEGASTAR FOODS LIMITED,Rank 3
1686,GARNET INTERNATIONAL LIMITED,Rank 3
1687,STARLINE PRECIOUS STONE LIMITED,Rank 3
1688,SHRI KRISHNA DEVCON LIMITED,Rank 3
1689,ADC INDIA COMMUNICATIONS LIMITED,Rank 3
1690,KAMAT HOTELS (INDIA) LTD.,Rank 3
1691,NIRAJ CEMENT STRUCTURALS LIMITED,Rank 3
1692,BROOKS LABORATORIES LIMITED,Rank 3
1693,LAKSHMI ELECTRICAL CONTROL SYSTEMS,Rank 3
1694,MANJEERA CONSTRUCTIONS LIMITED,Rank 3
1695,MODULEX CONSTRUCTION TECHNOLOGIES LIMITED,Rank 3
1696,VIDEOCON INDUSTRIES LTD.,Rank 3
1697,RAGHUVIR SYNTHETICS LTD.,Rank 3
1698,GLOBALSPACE TECHNOLOGIES LIMITED,Rank 3
1699,NOIDA TOLL BRIDGE COMPANY LTD,Rank 3
1700,ARFIN INDIA LIMITED,Rank 3
1701,JULLUNDUR MOTOR AGENCY (DELHI) LTD.,Rank 3
1702,BAID LEASING AND FINANCE CO.LTD.,Rank 3
1703,DUTRON  POLYMERS LTD.,Rank 3
1704,MONARCH NETWORTH CAPITAL LIMITED,Rank 3
1705,SHYAM CENTURY FERROUS LIMITED,Rank 3
1706,"ROLTA INDIA LTD.,",Rank 3
1707,MCNALLY BHARAT ENGINEERING COMPANY LIMITED,Rank 3
1708,MOTOR & GENERAL FINANCE (M.G.F.) LT,Rank 3
1709,MANAKSIA STEELS LIMITED,Rank 3
1710,A INFRASTRUCTURE LIMITED,Rank 3
1711,ERA BUILDSYS LIMITED,Rank 3
1712,WELSPUN INVESTMENTS AND COMMERCIALS LTD.,Rank 3
1713,TOUCHWOOD ENTERTAINMENT LTD.,Rank 3
1714,AXITA COTTON LIMITED,Rank 3
1715,KELTECH ENERGIES LTD.,Rank 3
1716,SINTEX INDUSTRIES LTD,Rank 3
1717,MUKTA ARTS LTD.,Rank 3
1718,"KAIRA CAN CO. LTD.,",Rank 3
1719,LEADING LEASING FINANCE AND INVESTMENT CO. LIMITED,Rank 3
1720,GUJARAT NATURAL RESOURCES LIMITED,Rank 3
1721,TUTICORIN ALKALI CHEMICALS & FERTIL,Rank 3
1722,"NEELAMALAI AGRO INDUSTRIES LTD.,",Rank 3
1723,MANGALAM SEEDS LIMITED,Rank 3
1724,MAGNA ELECTRO CASTINGS LTD.,Rank 3
1725,RATHI INDUSTRIES LIMITED,Rank 3
1726,GENESIS FINANCE COMPANY LIMITED,Rank 3
1727,TOKYO PLAST INTERNATIONAL LTD.,Rank 3
1728,JHS SVENDGAARD LABORATORIES LTD.,Rank 3
1729,ECO RECYCLING LIMITED,Rank 3
1730,MEERA INDUSTRIES LIMITED,Rank 3
1731,WEBSOL ENERGY SYSTEM LIMITED,Rank 3
1732,"JYOTI RESINS & ADHESIVES LTD,",Rank 3
1733,LGB FORGE LIMITED,Rank 3
1734,K.G.DENIM LTD,Rank 3
1735,KIFS FINANCIAL SERVICES LTD,Rank 3
1736,TANEJA AEROSPACE & AVIATION LTD.,Rank 3
1737,RANA SUGARS LTD.,Rank 3
1738,BNK CAPITAL MARKETS LTD.,Rank 3
1739,A-1 ACID LIMITED,Rank 3
1740,SICAL LOGISTICS LIMITED,Rank 3
1741,PIONEER EMBROIDERIES LTD.,Rank 3
1742,PANACHE DIGILIFE LTD.,Rank 3
1743,GRM OVERSEAS LTD.,Rank 3
1744,RAW EDGE INDUSTRIAL SOLUTIONS LIMITED,Rank 3
1745,UNIPLY DECOR LIMITED,Rank 3
1746,"JOSTS ENGINEERING CO. LTD.,",Rank 3
